Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)	Real Start Time (ms)	Full Time to Load (ms)	Optimization Checked	CDN Provider
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	81.88.48.95			http://braincracking.org	0	3789	2916	3482	2077	53287	0	0	0					0	0	0	3789	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	0	0	-1	30	87	100	-1	100	100	100	50	0	0				52485	36404	4061	0	35	0		1	
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/	200	3375	2780	136	562	48424	48068	172	3			text/html		3	2	1	3511	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	1	0	-1	0	50	100	-1	-1	-1	-1	100	0	0	55	80		48424	36404	0	0	0	0	0	0	3512	1	
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	173.194.34.5	GET	www.google-analytics.com	/__utm.gif?utmwv=5.3.3&utms=2&utmn=2098939149&utmhn=braincracking.org&utmcs=utf-8&utmsr=1024x768&utmvp=1012x614&utmsc=32-bit&utmul=en-us&utmje=1&utmfl=11.1%20r102&utmdt=BrainCracking%2C%20veille%20technologique%20sur%20les%20applications%20Web%20et%20la%20performance%20Web&utmhid=1345615332&utmr=-&utmp=%2F&utmac=UA-17969534-1&utmcc=__utma%3D45835639.1040382118.1341322341.1341322341.1341322341.1%3B%2B__utmz%3D45835639.1341322341.1.1.utmcsr%3D(direct)%7Cutmccn%3D(direct)%7Cutmcmd%3D(none)%3B&aip=1&utmu=qAQ~	200	81	81	3613	798	376	35	0	0	Wed, 19 Apr 2000 11:43:00 GMT	private, no-cache, no-cache=set-cookie, proxy-revalidate	image/gif		3	3	1	3694	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	2	-1	-1	-1	100	-1	-1	-1	-1	100	100	0	0	194	99		0	0	0	0	35	0		3319	376	1	
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	0.0.0.0	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/search.png	200	0	0	3330	0	0	0	0	0			image/png		8	0	0	3330	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0				0	0	0	0	0	0		3333	21	1	
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	0.0.0.0	GET	braincracking.org	/blog/wp-content/uploads/2011/11/pornstar.png	200	0	0	3333	0	0	0	0	0			image/png		8	0	0	3333	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0				0	0	0	0	0	0		3336	39	1	
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	0.0.0.0	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/brushedmetal.png	200	0	0	3353	0	0	0	0	0			image/png		8	0	0	3353	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0				0	0	0	0	0	0		3356	22	1	
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	0.0.0.0	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/bullet.png	200	0	0	3378	0	0	0	0	0			image/png		8	0	0	3378	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0				0	0	0	0	0	0		3381	2	1	
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	0.0.0.0	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/content_bg.png	200	0	0	3382	0	0	0	0	0			image/png		8	0	0	3382	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0				0	0	0	0	0	0		3385	0	1	
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	0.0.0.0	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/feed.png	200	0	0	3388	0	0	0	0	0			image/png		8	0	0	3388	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	8	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0				0	0	0	0	0	0		3391	0	1	
07/03/2012	15:32:32	Cached-Run_1^http://braincracking.org	0.0.0.0	GET	braincracking.org	/blog/wp-content/uploads/2010/12/Untitled-1.jpg	200	0	0	3392	0	0	0	0	0			image/jpeg		8	0	0	3392	Launch	-1	1	-1	1	http://braincracking.org	312	2	0	2m5C31WWAU29Xf+bc2MmkA	9	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0				0	0	0	0	0	0		3395	5	1	
