Offset Time (ms),Bandwidth In (kbps),CPU Utilization (%),Memory Use (KB)
0,0,0.00,20068
79,0,36.00,21468
179,0,0.00,21500
280,0,0.00,21500
380,0,0.00,21500
480,0,0.00,21500
581,0,0.00,21500
681,0,0.00,21500
781,0,10.00,21500
882,0,0.00,21500
982,0,10.00,21500
1082,0,0.00,21500
1182,0,0.00,21500
1283,0,0.00,21500
1383,0,0.00,21500
1484,0,0.00,21500
1584,0,0.00,21500
1684,0,0.00,21500
1785,0,0.00,21500
1885,0,0.00,21500
1985,0,0.00,21500
2086,0,0.00,21500
2186,0,0.00,21500
2286,0,0.00,21500
2386,0,0.00,21500
2487,0,0.00,21500
2587,0,0.00,21500
2688,0,0.00,21500
2788,0,0.00,21500
2888,0,0.00,21500
2989,109316,40.00,22148
3090,0,10.00,22148
3207,198563,33.00,23772
0,52934,100.00,31032
3318,52934,100.00,31032
3419,920469,100.00,33628
3521,2436475,100.00,34364
3621,0,70.00,34700
3721,29976,0.00,34788
3822,33933,40.00,35128
3922,0,0.00,35136
4022,0,0.00,35136
4122,0,0.00,35136
4223,0,0.00,35136
4323,0,30.00,35172
4423,0,0.00,35172
4531,302374,45.00,35668
4631,0,0.00,35668
4731,0,0.00,35668
4832,0,0.00,35668
4932,0,0.00,35668
5032,0,0.00,35668
5133,0,0.00,35668
5233,0,0.00,35668
5334,0,0.00,35668
5434,0,0.00,35668
5534,0,0.00,35668
5635,0,0.00,35668
5735,0,0.00,35668
5835,0,0.00,35668
5936,0,0.00,35668
6036,0,0.00,35668
6136,0,0.00,35668
6237,0,0.00,35668
6337,0,0.00,35668
6437,0,0.00,35668
6538,0,0.00,35668
