Date	Time	Event Name	IP Address	Action	Host	URL	Response Code	Time to Load (ms)	Time to First Byte (ms)	Start Time (ms)	Bytes Out	Bytes In	Object Size	Cookie Size (out)	Cookie Count(out)	Expires	Cache Control	Content Type	Content Encoding	Transaction Type	Socket ID	Document ID	End Time (ms)	Descriptor	Lab ID	Dialer ID	Connection Type	Cached	Event URL	Pagetest Build	Measurement Type	Experimental	Event GUID	Sequence Number	Cache Score	Static CDN Score	GZIP Score	Cookie Score	Keep-Alive Score	DOCTYPE Score	Minify Score	Combine Score	Compression Score	ETag Score	Flagged	Secure	DNS Time	Connect Time	SSL Time	Gzip Total Bytes	Gzip Savings	Minify Total Bytes	Minify Savings	Image Total Bytes	Image Savings	Cache Time (sec)	Real Start Time (ms)	Full Time to Load (ms)	Optimization Checked	CDN Provider
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95			http://braincracking.org	0	4894	2881	3699	8492	281006	0	0	0					0	0	0	4894	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	0	84	9	43	100	100	-1	100	85	95	91	0	0				90561	51043	20299	0	182658	8205		1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/	200	3181	2650	231	330	48424	48068	0	0			text/html		3	2	1	3412	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	1	0	-1	0	100	100	-1	-1	-1	-1	100	0	0	151	80		48424	36405	0	0	0	0	0	0	3413	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/style.css	200	369	204	2969	322	19879	19527	0	0	Fri, 01 Jul 2022 13:32:19 GMT	max-age=315360000	text/css		3	3	1	3338	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	2	100	0	0	100	100	-1	-1	0	-1	100	0	0		81		19879	13857	0	0	0	0	315360000	2887	452	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/css/print.css	200	107	106	3340	340	1959	1608	0	0	Fri, 01 Jul 2022 13:32:20 GMT	max-age=315360000	text/css		3	3	1	3447	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	3	100	0	0	100	100	-1	-1	0	-1	100	0	0				1959	781	0	0	0	0	315360000	3340	108	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	173.194.34.6	GET	www.google-analytics.com	/ga.js	200	256	78	3620	294	15046	14671	0	0	Tue, 03 Jul 2012 23:27:57 GMT	max-age=43200, public	text/javascript	gzip	3	5	1	3876	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	4	50	100	100	100	100	-1	100	100	-1	100	0	0	85	63		15046	0	15046	0	0	0	43200	3471	405	1	Google
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/search.png	200	105	104	3474	344	1061	710	0	0	Fri, 01 Jul 2022 13:32:20 GMT	max-age=315360000	image/png		3	2	1	3579	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	5	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	710	0	315360000	3474	105	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	81.88.48.95	GET	braincracking.org	/blog/wp-content/themes/redline/library/media/images/brushedmetal.png	200	123	122	3476	350	6637	6285	0	0	Fri, 01 Jul 2022 13:32:20 GMT	max-age=315360000	image/png		3	3	1	3599	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	6	100	0	-1	100	100	-1	-1	-1	100	100	0	0				0	0	0	0	6285	0	315360000	3476	124	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	128.30.52.37	GET	www.w3.org	/html/logo/downloads/HTML5_Logo_128.png	200	262	246	3735	313	2619	2223	0	0	Thu, 02 Aug 2012 13:32:21 GMT	max-age=2592000, public	image/png		3	4	1	3997	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	7	100	0	-1	100	-1	-1	-1	-1	100	100	0	0	71	184		0	0	0	0	2223	0	2592000	3479	519	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	199.59.148.82	GET	twitter.com	/javascripts/blogger.js	200	226	225	3765	298	1192	737	0	0	Tue, 03 Jul 2012 13:37:21 GMT	max-age=300	application/javascript	gzip	3	6	1	3991	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	8	0	0	100	100	100	-1	100	100	-1	100	0	0	62	207		1192	0	1192	0	0	0	300	3495	497	1	
07/03/2012	15:32:16	Cleared Cache-Run_1^http://braincracking.org	205.251.205.5	GET	static.jsconf.us	/promotejsvs.png	200	633	86	3877	296	66313	65687	0	0			image/png		3	7	1	4510	Launch	-1	1	-1	0	http://braincracking.org	312	2	0	DqYUzLOMvEOHEwWm4RVjEQ	9	0	100	-1	100	100	-1	-1	-1	100	0	0	0	263	61		0	0	0	0	65687	0	0	3551	960	1	Amazon CloudFront
