Offset Time (ms),Bandwidth In (kbps),CPU Utilization (%),Memory Use (KB)
0,0,0.00,20524
66,0,100.00,21644
166,0,0.00,21664
266,0,0.00,21696
367,0,0.00,21696
467,0,0.00,21696
568,0,20.00,21696
668,0,0.00,21696
768,0,10.00,21696
869,0,20.00,21696
969,0,20.00,21696
1070,0,20.00,21696
1170,0,0.00,21696
1270,0,0.00,21696
1370,0,0.00,21696
1470,0,0.00,21696
1571,0,20.00,21696
1671,0,20.00,21696
1771,0,10.00,21696
1872,0,0.00,21696
1972,0,0.00,21696
2073,0,10.00,21696
2173,0,0.00,21696
2273,0,0.00,21696
2374,0,0.00,21696
2474,0,10.00,21696
2574,0,0.00,21696
2674,0,0.00,21696
2775,0,0.00,21696
2875,0,0.00,21696
2975,875807,30.00,22192
3076,435138,20.00,22208
3176,873815,0.00,22244
3277,870364,20.00,22256
3377,1704936,40.00,22504
3478,843315,30.00,23288
3580,82967,72.00,24496
3682,522220,100.00,25196
3782,1732529,70.00,25656
3893,1365783,27.00,26244
3993,1382912,90.00,27428
4094,1690171,40.00,30056
4194,1495440,60.00,32972
4294,1177184,40.00,34704
4398,1299833,60.00,35432
4498,1515870,50.00,35724
4598,211042,10.00,35724
4698,1850881,0.00,35896
4799,1525322,40.00,36560
4912,679947,45.00,36768
5011,0,20.00,36780
0,530117,0.00,36768
5112,530117,0.00,36768
5212,0,0.00,36768
5312,0,0.00,36768
5413,0,20.00,36832
5513,0,0.00,36832
5614,0,10.00,36848
5714,0,0.00,36848
5814,0,0.00,36848
5915,0,0.00,36848
6015,0,10.00,36848
6115,0,0.00,36848
6215,0,0.00,36848
6316,0,0.00,36848
6416,0,0.00,36848
6517,0,0.00,36848
6617,0,0.00,36848
6717,0,0.00,36848
6818,0,0.00,36848
